maximize_value,long_ma_len,short_ma_len,std_dev_mult,pl_len_0,pl_len_1,pl_len_2,pl_len_3,pl_perc_0,pl_perc_1,pl_perc_2,pl_perc_3
0.029777902743346768,170.0,90.0,2.5,238.0,164.0,178.0,252.0,0.09280691946119896,0.05393492921402751,0.08367551473949796,0.029777902743346768
0.029679027929915322,150.0,95.0,2.0,276.0,190.0,197.0,284.0,0.029679027929915322,0.031177172416371968,0.1161494933033972,0.05204909856655791
0.02509638169811218,160.0,95.0,2.75,145.0,87.0,92.0,142.0,0.02509638169811218,0.15123745518232423,0.2404663009838242,0.20416346855612566
0.024063932141526214,200.0,95.0,2.5,271.0,192.0,204.0,274.0,0.10829262639776663,0.13345025266237437,0.024063932141526214,0.030063746290415944
0.023129656175489892,110.0,85.0,2.25,146.0,85.0,76.0,134.0,0.023129656175489892,0.10485097476910367,0.29532558103546813,0.02668640014163374
0.02304807693662273,120.0,95.0,2.0,163.0,88.0,85.0,148.0,0.04594502489614032,0.05137763615359315,0.10344713159540012,0.02304807693662273
0.022912291240889414,150.0,90.0,2.75,145.0,87.0,91.0,149.0,0.022912291240889414,0.0681300071089488,0.16010716999548294,0.07183303004695325
0.022527787293128737,110.0,90.0,2.0,158.0,88.0,91.0,142.0,0.08887697462918581,0.07102883655937894,0.24142463774145811,0.022527787293128737
0.022355128896392566,110.0,85.0,2.0,201.0,120.0,121.0,179.0,0.022355128896392566,0.09152085989499825,0.1675641635329016,0.028009521317000716
0.01943615858362966,210.0,95.0,2.75,231.0,152.0,172.0,237.0,0.08696235906743888,0.16817626780559114,0.01943615858362966,0.17388609692192825
0.018544234982187102,110.0,95.0,2.0,134.0,73.0,69.0,118.0,0.059204333484743625,0.027427538893503564,0.1109702809854347,0.018544234982187102
0.018508948086565405,110.0,80.0,2.75,116.0,58.0,58.0,103.0,0.030713753612913054,0.07423737245043269,0.4647602694591562,0.018508948086565405
0.018026537414206612,200.0,90.0,2.5,298.0,216.0,235.0,306.0,0.11064806653749769,0.14758450256259248,0.048373058353770475,0.018026537414206612
0.017558672737354068,140.0,90.0,2.75,128.0,73.0,72.0,128.0,0.055915881239000965,0.08127449246557449,0.12319612829695241,0.017558672737354068
0.01755717899175591,170.0,95.0,2.25,265.0,188.0,199.0,264.0,0.11619709087563215,0.08333884925379842,0.0933620454779421,0.01755717899175591
0.016043343886437602,120.0,80.0,2.75,136.0,71.0,79.0,132.0,0.04129544487320344,0.016043343886437602,0.20178545563351796,0.023646940363074326
