size,stop_loss,take_profit,price,order_type,side,offset,candle_index,user_id
1.0,2.0,0.0,8297.765749999999,0.0,1.0,2.0,25668.0,0.0
1.0,2.0,0.0,8197.174134894025,0.0,2.0,1.0,25819.0,0.0
1.0,2.0,0.0,8204.058866244866,0.0,2.0,1.0,25820.0,0.0
1.0,2.0,0.0,8218.759277985531,0.0,2.0,1.0,25822.0,0.0
3.0,2.0,0.0,8174.7488749999975,0.0,1.0,2.0,25870.0,0.0
1.0,2.0,0.0,8436.94587630936,0.0,1.0,1.0,26089.0,0.0
1.0,2.0,0.0,8385.965118592614,0.0,1.0,1.0,26096.0,0.0
1.0,2.0,0.0,8348.576599167045,0.0,1.0,1.0,26104.0,0.0
3.0,2.0,0.0,7674.308749999998,0.0,2.0,2.0,26337.0,0.0
1.0,2.0,0.0,7520.465040627157,0.0,2.0,1.0,26541.0,0.0
1.0,2.0,0.0,7502.495249999998,0.0,1.0,2.0,26599.0,0.0
1.0,2.0,0.0,7399.846550895623,0.0,2.0,1.0,26680.0,0.0
1.0,2.0,0.0,7315.190375000003,0.0,1.0,2.0,26681.0,0.0
1.0,2.0,0.0,7368.760678024779,0.0,2.0,1.0,26700.0,0.0
1.0,2.0,0.0,7373.181661473184,0.0,2.0,1.0,26707.0,0.0
2.0,2.0,0.0,7318.556749999998,0.0,1.0,2.0,26708.0,0.0
1.0,2.0,0.0,7374.413650842349,0.0,2.0,1.0,26711.0,0.0
1.0,2.0,0.0,7383.160453861267,0.0,2.0,1.0,26717.0,0.0
1.0,2.0,0.0,7385.187585117357,0.0,2.0,1.0,26718.0,0.0
1.0,2.0,0.0,7388.019403544023,0.0,2.0,1.0,26719.0,0.0
4.0,2.0,0.0,7330.263124999995,0.0,1.0,2.0,26722.0,0.0
1.0,2.0,0.0,7276.786280580514,0.0,2.0,1.0,26844.0,0.0
1.0,2.0,0.0,7456.833125,0.0,1.0,2.0,26922.0,0.0
1.0,2.0,0.0,7426.839584701982,0.0,1.0,1.0,26955.0,0.0
1.0,2.0,0.0,7392.578875000002,0.0,2.0,2.0,27009.0,0.0
1.0,2.0,0.0,7429.750382677723,0.0,1.0,1.0,27135.0,0.0
1.0,2.0,0.0,7478.819375000001,0.0,2.0,2.0,27177.0,0.0
1.0,2.0,0.0,7613.238829711125,0.0,1.0,1.0,27291.0,0.0
1.0,2.0,0.0,7646.178125000006,0.0,2.0,2.0,27292.0,0.0
1.0,2.0,0.0,7658.50841821731,0.0,1.0,1.0,27399.0,0.0
1.0,2.0,0.0,7657.861796177122,0.0,1.0,1.0,27400.0,0.0
2.0,2.0,0.0,7461.133750000001,0.0,2.0,2.0,27518.0,0.0
1.0,2.0,0.0,7555.893767197913,0.0,2.0,1.0,27535.0,0.0
1.0,2.0,0.0,7570.221312618985,0.0,2.0,1.0,27538.0,0.0
1.0,2.0,0.0,7573.8700246792905,0.0,2.0,1.0,27539.0,0.0
1.0,2.0,0.0,7577.085284002453,0.0,2.0,1.0,27540.0,0.0
1.0,2.0,0.0,7580.364200757555,0.0,2.0,1.0,27541.0,0.0
5.0,2.0,0.0,7578.517874999998,0.0,1.0,2.0,27601.0,0.0
1.0,2.0,0.0,7577.168559089636,0.0,1.0,1.0,27633.0,0.0
1.0,2.0,0.0,7595.722874999998,0.0,2.0,2.0,27651.0,0.0
1.0,2.0,0.0,7667.930471630741,0.0,1.0,1.0,27747.0,0.0
1.0,2.0,0.0,7666.175503279716,0.0,1.0,1.0,27748.0,0.0
1.0,2.0,0.0,7656.15,0.0,1.0,1.0,27750.0,0.0
1.0,2.0,0.0,7662.0496182450315,0.0,1.0,1.0,27751.0,0.0
